CourseCode,Semester,CourseName,StudyLevel
DEC1-05,1,Elektromagnetska mjerenja,Sveu?ilišni diplomski studij Elektrotehnike
DEC2-02,2,Elektri?ni pogoni,Sveu?ilišni diplomski studij Elektrotehnike
DEC2-05,2,Industrijska mjerenja,Sveu?ilišni diplomski studij Elektrotehnike
DEC3-03,3,Dinamika industrijskih sustava,Sveu?ilišni diplomski studij Elektrotehnike
DA1-01,1,Pogonski sustavi i napajanje za vozila,"Sveu?ilišni diplomski studij, Automobilsko ra?unarstvo i komunikacije"
DA1-02,1,Osiguranje kakvo?e automobilske programske podrške,"Sveu?ilišni diplomski studij, Automobilsko ra?unarstvo i komunikacije"
DA1-03,1,Linux u ugradbenim sustavima,"Sveu?ilišni diplomski studij, Automobilsko ra?unarstvo i komunikacije"
DA2-01,2,Ra?unalne mreže i protokoli u automobilu,"Sveu?ilišni diplomski studij, Automobilsko ra?unarstvo i komunikacije"
DA2-02,2,Arhitekture programske podrške u sigurnosno kriti?nim sustavima upravljanja,"Sveu?ilišni diplomski studij, Automobilsko ra?unarstvo i komunikacije"
DA3-02,3,Digitalna obrada slike i videa za autonomna vozila,"Sveu?ilišni diplomski studij, Automobilsko ra?unarstvo i komunikacije"
DA3-03,3,Strojno u?enje u sustavima autonomnih i umreženih vozila,"Sveu?ilišni diplomski studij, Automobilsko ra?unarstvo i komunikacije"
DA3-04,3,Metode i tehnike ispitivanje automobilske programske podrške,"Sveu?ilišni diplomski studij, Automobilsko ra?unarstvo i komunikacije"
DA3-05,3,Sigurnost informacijskih sustava,"Sveu?ilišni diplomski studij, Automobilsko ra?unarstvo i komunikacije"
DA4R4I-10,4,Inteligentni transportni sustavi,Sveu?ilišni diplomski studij Ra?unarstva
DAKR4I-01,3,Digitalna videotehnika,Sveu?ilišni diplomski studij Ra?unarstva
DER4I-05-17,3,Elementi automatike,Sveu?ilišni diplomski studij Ra?unarstva
DI401-17,3,Projekti za društevno korisno u?enje,Sveu?ilišni diplomski studij Ra?unarstva
DKR4I-03,3,Napredno web programiranje,Sveu?ilišni diplomski studij Ra?unarstva
DKR4I-04,3,Zeleno ra?unarstvo,Sveu?ilišni diplomski studij Ra?unarstva
DR4I-02,3,3D ra?unalna grafika,Sveu?ilišni diplomski studij Ra?unarstva
DR4I-07,3,Robotski vid,Sveu?ilišni diplomski studij Ra?unarstva
DRI4-08,3,Sonarsko ra?unarstvo,Sveu?ilišni diplomski studij Ra?unarstva
DRI4-09,3,Šah i ra?unala,Sveu?ilišni diplomski studij Ra?unarstva
DK4I-02,3,Biomedicinska elektronika,Sveu?ilišni diplomski studij Elektrotehnike
DE4I-02,3,Energetski pregledi i javna rasvjeta,Sveu?ilišni diplomski studij Elektrotehnike
DE4I-03,3,Modeliranje i upravljanje elektranama na OIE,Sveu?ilišni diplomski studij Elektrotehnike
